Digi-Key Part No.;Manufacturer Name;Mfr Part No.;Customer Reference;Qty1;Qty2;Qty3
478-3351-1-ND;;;C1;40;;
P5124-ND;;;C2;2;;
445-1602-1-ND;;;C3;10;;
493-1082-ND;;;C4;4;;
718-1090-1-ND;;;C5;4;;
399-1099-1-ND;;;C6;30;;
478-3134-1-ND;;;C7;4;;
709-1172-1-ND;;;C8;8;;
478-1392-1-ND;;;C9;10;;
587-1352-1-ND;;;C10;10;;
A35109-ND;;;C11;2;;
RUSBF120-ND;;;C13;4;;
497-3450-5-ND;;;C14;2;;
ADR443BRZ-ND;;;C15;2;;
LM338T-ND;;;C16;2;;
DSPIC33FJ128MC804-I/PT-ND;;;C18;4
MCP6022-E/SN-ND;;;C19;6
TC4427ACOA-ND;;;C20;6
IRF7389PBFCT-ND;;;C21;8
ICL3232IBNZ-ND;;;C24;2
A19470-ND;;;C25;14
A99614-ND;;;C26;14
A1922-ND;;;C31;12
A99615-ND;;;C32;12
A99617-ND;;;C33;8
A99618-ND;;;C34;8
609-3254-ND;;;C35;2
609-3317-ND;;;C36;2
160-1423-1-ND;;;C38;10
160-1422-1-ND;;;C39;10
631-1011-1-ND;;;C40;4
RMCF1/10470JRCT-ND;;;C41;2
RMCF1/10270JRCT-ND;;;C42;12
RHM240CCT-ND;;;C43;10
RMCF1/102.7KJRCT-ND;;;C44;2
RMCF1/101KJRCT-ND;;;C45;4
RHM1.60KCRCT-ND;;;C46;10
RMCF1/104.7KJRCT-ND;;;C47;36
RMCF1/1010KJRCT-ND;;;C48;2
RMCF1/100RCT-ND;;;C54;20
RHM20.0KCRCT-ND;;;C58;20
RHM10.0KCRCT-ND;;;C59;14
ED1849-ND;;;C62;12
A98223-ND;;;C63;12
